,title,year,certification,runtime,genre,imdb_rating,metascore,plot,number_of_votes
378,8. Inception,2010,PG-13,2h 28m,Sci-Fi,8.8 (2.6M),74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",(2.6M)
379,9. The Matrix,1999,R,2h 16m,Sci-Fi,8.7 (2.1M),73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",(2.1M)
380,10. Avengers: Endgame,2019,PG-13,3h 1m,Sci-Fi,8.4 (1.3M),78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",(1.3M)
381,11. Back to the Future,1985,PG,1h 56m,Sci-Fi,8.5 (1.3M),87,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",(1.3M)
382,12. Alien,1979,R,1h 57m,Sci-Fi,8.5 (959K),89,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,(959K)
383,13. Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,Sci-Fi,8.6 (383K),86,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",(383K)
384,14. Blade Runner 2049,2017,R,2h 44m,Sci-Fi,8.0 (674K),81,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",(674K)
385,15. Jurassic Park,1993,PG-13,2h 7m,Sci-Fi,8.2 (1.1M),68,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,(1.1M)
386,16. Spider-Man: No Way Home,2021,PG-13,2h 28m,Sci-Fi,8.2 (891K),71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",(891K)
387,17. Ghostbusters,1984,PG,1h 45m,Sci-Fi,7.8 (454K),71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",(454K)
388,18. Mad Max 2: The Road Warrior,1981,R,1h 36m,Sci-Fi,7.6 (200K),77,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits.",(200K)
389,19. The Fifth Element,1997,PG-13,2h 6m,Sci-Fi,7.6 (511K),52,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",(511K)
390,20. Deadpool 2,2018,R,1h 59m,Sci-Fi,7.6 (653K),66,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",(653K)
391,21. Everything Everywhere All at Once,2022,R,2h 19m,Sci-Fi,7.8 (541K),81,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,(541K)
